Round,Winner_ID,Winning_Bid,Second_Price,P1_Strategy,P1_TrueVal,P1_Bid,P1_Profit,P1_TotalProfit,P2_Strategy,P2_TrueVal,P2_Bid,P2_Profit,P2_TotalProfit,P3_Strategy,P3_TrueVal,P3_Bid,P3_Profit,P3_TotalProfit,P4_Strategy,P4_TrueVal,P4_Bid,P4_Profit,P4_TotalProfit,P5_Strategy,P5_TrueVal,P5_Bid,P5_Profit,P5_TotalProfit
1,2,1011.8856316367877,574.5954074143715,truthful,135,135.0,0.0,0.0,random_reasonable,950,1011.8856316367877,375.4045925856285,375.4045925856285,underbid_bayesian,275,274.1735064179723,0.0,0.0,overbid,500,564.1972447884045,0.0,0.0,noisy_bounded_rationality,675,574.5954074143715,0.0,0.0
2,1,825.0,712.9231664103189,truthful,825,825.0,112.07683358968109,112.07683358968109,random_reasonable,785,712.9231664103189,0.0,375.4045925856285,underbid_bayesian,100,93.45491607507913,0.0,0.0,overbid,295,327.0435796664141,0.0,0.0,noisy_bounded_rationality,455,540.4027149728518,0.0,0.0
3,4,850.9170357359833,716.9998190588183,truthful,505,505.0,0.0,112.07683358968109,random_reasonable,655,716.9998190588183,0.0,375.4045925856285,underbid_bayesian,245,244.09226520440515,0.0,0.0,overbid,805,850.9170357359833,88.00018094118172,88.00018094118172,noisy_bounded_rationality,255,293.55868151378394,0.0,0.0
4,2,723.0478755722171,716.5300670002615,truthful,445,445.0,0.0,112.07683358968109,random_reasonable,835,723.0478755722171,118.46993299973849,493.874525585367,underbid_bayesian,655,568.1557360705879,0.0,0.0,overbid,645,716.5300670002615,0.0,88.00018094118172,noisy_bounded_rationality,115,103.36405582196872,0.0,0.0
5,2,992.9567148529205,654.3803602274002,truthful,455,455.0,0.0,112.07683358968109,random_reasonable,995,992.9567148529205,340.61963977259984,834.4941653579668,underbid_bayesian,655,654.3803602274002,0.0,0.0,overbid,105,117.77189643278237,0.0,88.00018094118172,noisy_bounded_rationality,255,240.63240004190655,0.0,0.0
6,1,1000.0,788.5050592812278,truthful,1000,1000.0,211.49494071877223,323.5717743084533,random_reasonable,800,788.5050592812278,0.0,834.4941653579668,underbid_bayesian,500,426.41773745467736,0.0,0.0,overbid,400,458.586063516703,0.0,88.00018094118172,noisy_bounded_rationality,200,185.89716954681825,0.0,0.0
7,5,990.8921991482011,773.7615861046581,truthful,200,200.0,0.0,323.5717743084533,random_reasonable,400,417.92531556758297,0.0,834.4941653579668,underbid_bayesian,600,510.52465579199253,0.0,0.0,overbid,700,773.7615861046581,0.0,88.00018094118172,noisy_bounded_rationality,950,990.8921991482011,176.23841389534186,176.23841389534186
8,3,893.16139065855,710.7209619869723,truthful,275,275.0,0.0,323.5717743084533,random_reasonable,455,410.5509821952347,0.0,834.4941653579668,underbid_bayesian,990,893.16139065855,279.27903801302773,279.27903801302773,overbid,655,710.7209619869723,0.0,88.00018094118172,noisy_bounded_rationality,245,224.7237629031538,0.0,176.23841389534186
9,4,1076.040258284283,713.195832878743,truthful,105,105.0,0.0,323.5717743084533,random_reasonable,255,265.59996534473044,0.0,834.4941653579668,underbid_bayesian,455,424.1626099234292,0.0,279.27903801302773,overbid,1000,1076.040258284283,286.804167121257,374.80434806243875,noisy_bounded_rationality,655,713.195832878743,0.0,176.23841389534186
10,3,876.6779877975282,800.0,truthful,800,800.0,0.0,323.5717743084533,random_reasonable,650,610.0375774440062,0.0,834.4941653579668,underbid_bayesian,1000,876.6779877975282,200.0,479.27903801302773,overbid,250,266.8536444149308,0.0,374.80434806243875,noisy_bounded_rationality,450,426.10768055044525,0.0,176.23841389534186
11,5,817.2208704036412,737.0535144376413,truthful,235,235.0,0.0,323.5717743084533,random_reasonable,435,462.2806787774466,0.0,834.4941653579668,underbid_bayesian,635,549.3964985373176,0.0,479.27903801302773,overbid,735,737.0535144376413,0.0,374.80434806243875,noisy_bounded_rationality,935,817.2208704036412,197.9464855623587,374.18489945770057
12,5,948.1629138990706,795.0,truthful,795,795.0,0.0,323.5717743084533,random_reasonable,100,100.13363520927912,0.0,834.4941653579668,underbid_bayesian,256,238.8938299249734,0.0,479.27903801302773,overbid,545,579.6459874119538,0.0,374.80434806243875,noisy_bounded_rationality,995,948.1629138990706,200.0,574.1848994577006
13,3,852.9574538471245,818.3836212642289,truthful,245,245.0,0.0,323.5717743084533,random_reasonable,795,818.3836212642289,0.0,834.4941653579668,underbid_bayesian,1000,852.9574538471245,181.61637873577115,660.8954167487989,overbid,255,278.8838453195596,0.0,374.80434806243875,noisy_bounded_rationality,500,531.8671986902118,0.0,574.1848994577006
14,1,900.0,692.325260894156,truthful,900,900.0,207.67473910584397,531.2465134142973,random_reasonable,800,692.325260894156,0.0,834.4941653579668,underbid_bayesian,600,544.4969703415775,0.0,660.8954167487989,overbid,400,409.60770725509053,0.0,374.80434806243875,noisy_bounded_rationality,200,204.37562384991875,0.0,574.1848994577006
15,3,862.4477449099508,856.4827194212189,truthful,575,575.0,0.0,531.2465134142973,random_reasonable,785,856.4827194212189,0.0,834.4941653579668,underbid_bayesian,995,862.4477449099508,138.51728057878108,799.41269732758,overbid,250,267.69810220869334,0.0,374.80434806243875,noisy_bounded_rationality,450,449.7933310569953,0.0,574.1848994577006
16,5,870.6364172293626,856.084670490748,truthful,100,100.0,0.0,531.2465134142973,random_reasonable,250,247.36029106712908,0.0,834.4941653579668,underbid_bayesian,450,396.5942051996933,0.0,799.41269732758,overbid,750,856.084670490748,0.0,374.80434806243875,noisy_bounded_rationality,963,870.6364172293626,106.91532950925205,681.1002289669526
17,4,972.7471055221497,634.9068310698817,truthful,250,250.0,0.0,531.2465134142973,random_reasonable,150,127.86571494261489,0.0,834.4941653579668,underbid_bayesian,550,528.1610913616972,0.0,799.41269732758,overbid,950,972.7471055221497,315.0931689301183,689.897516992557,noisy_bounded_rationality,650,634.9068310698817,0.0,681.1002289669526
18,1,880.0,725.6215544204733,truthful,880,880.0,154.37844557952667,685.624958993824,random_reasonable,420,365.868701207865,0.0,834.4941653579668,underbid_bayesian,575,531.6320588155681,0.0,799.41269732758,overbid,715,725.6215544204733,0.0,689.897516992557,noisy_bounded_rationality,185,220.3307079121234,0.0,681.1002289669526
19,1,935.0,815.4746111333524,truthful,935,935.0,119.52538886664763,805.1503478604716,random_reasonable,215,230.36021871291217,0.0,834.4941653579668,underbid_bayesian,550,497.56778835414036,0.0,799.41269732758,overbid,750,815.4746111333524,0.0,689.897516992557,noisy_bounded_rationality,325,329.69324976531385,0.0,681.1002289669526
20,2,954.2506162838916,722.3961281154907,truthful,175,175.0,0.0,805.1503478604716,random_reasonable,875,954.2506162838916,152.60387188450932,987.0980372424762,underbid_bayesian,530,455.53882293844117,0.0,799.41269732758,overbid,720,722.3961281154907,0.0,689.897516992557,noisy_bounded_rationality,445,435.06441042302396,0.0,681.1002289669526
21,4,853.1802906832798,720.3928694020531,truthful,255,255.0,0.0,805.1503478604716,random_reasonable,650,720.3928694020531,0.0,987.0980372424762,underbid_bayesian,805,719.8447364753968,0.0,799.41269732758,overbid,795,853.1802906832798,74.60713059794693,764.504647590504,noisy_bounded_rationality,100,118.77116342243012,0.0,681.1002289669526
22,1,995.0,584.022084194274,truthful,995,995.0,410.97791580572596,1216.1282636661977,random_reasonable,655,584.022084194274,0.0,987.0980372424762,underbid_bayesian,455,435.8976669689793,0.0,799.41269732758,overbid,255,289.93533763285666,0.0,764.504647590504,noisy_bounded_rationality,245,230.31777475464986,0.0,681.1002289669526
23,1,795.0,685.5819320672935,truthful,795,795.0,109.41806793270655,1325.546331598904,random_reasonable,805,685.5819320672935,0.0,987.0980372424762,underbid_bayesian,105,100.98550851565216,0.0,799.41269732758,overbid,645,653.7431229243704,0.0,764.504647590504,noisy_bounded_rationality,445,419.4661344296404,0.0,681.1002289669526
24,3,889.9651694986147,858.6972224257818,truthful,245,245.0,0.0,1325.546331598904,random_reasonable,255,289.7546522904556,0.0,987.0980372424762,underbid_bayesian,945,889.9651694986147,86.30277757421823,885.7154749017982,overbid,795,858.6972224257818,0.0,764.504647590504,noisy_bounded_rationality,500,450.7696977433641,0.0,681.1002289669526
25,4,886.2254485055969,840.1266282352965,truthful,645,645.0,0.0,1325.546331598904,random_reasonable,825,840.1266282352965,0.0,987.0980372424762,underbid_bayesian,100,91.43711609945228,0.0,885.7154749017982,overbid,800,886.2254485055969,-40.126628235296494,724.3780193552075,noisy_bounded_rationality,445,525.5038349351337,0.0,681.1002289669526
26,4,1137.197221617035,797.3615955101884,truthful,500,500.0,0.0,1325.546331598904,random_reasonable,800,797.3615955101884,0.0,987.0980372424762,underbid_bayesian,400,348.1317476477773,0.0,885.7154749017982,overbid,1000,1137.197221617035,202.6384044898116,927.0164238450191,noisy_bounded_rationality,250,295.2626693228392,0.0,681.1002289669526
